createdAt,modifiedAt,surveysUrl,name,foldersUrl,id,parentId
2019-04-17T12:10:02.275Z,2020-03-26T04:06:02.795Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=258200002,STRUCTURE_ESSAIS,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=258200002,258200002,0
2020-03-26T03:57:54.664Z,2020-03-26T03:58:02.003Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=483580313,DDAEP,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=483580313,483580313,0
2020-03-26T03:51:59.476Z,2020-03-26T03:52:19.681Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=475800258,DIRECTIONS_CENTRALES,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=475800258,475800258,0
2020-03-26T03:52:26.715Z,2020-03-26T03:52:50.928Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=471770054,PROJETS_PROGRAMMES,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=471770054,471770054,0
2021-07-29T07:21:39.476Z,2021-07-29T07:22:01.765Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=630754206,Z_CONSULTANTS,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=630754206,630754206,0
2021-05-17T12:33:14.140Z,2021-05-17T12:33:34.253Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=661155005,OPA,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=661155005,661155005,0
2023-01-15T13:27:33.382Z,2023-01-15T13:27:51.958Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=813484512,TRAINING - AKVO FLOW API,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=813484512,813484512,0
2020-03-26T03:51:25.949Z,2020-03-26T03:51:58.136Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=463940104,DIRECTIONS_TECHNIQUES,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=463940104,463940104,0
2021-05-06T18:46:45.747Z,2021-05-06T19:01:23.661Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=661151660,FORMATION DES ADMINISTRATEURS,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=661151660,661151660,0
2022-11-17T21:16:17.782Z,2022-11-17T21:17:18.212Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=772476800,ELECTION PROFESSIONNELLE MAEP,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=772476800,772476800,0
2020-03-26T03:57:44.947Z,2020-03-26T03:57:53.539Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=485530125,ATDA,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=485530125,485530125,0
2020-03-26T03:48:50.871Z,2020-03-26T03:49:04.195Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=487510146,FORMATION,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=487510146,487510146,0
2021-05-10T11:38:53.673Z,2021-05-10T11:39:33.326Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=655512155,FORMATION_2021,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=655512155,655512155,0
2020-03-26T03:52:52.465Z,2020-03-26T03:53:44.960Z,https://api-auth0.akvo.org/flow/orgs/maep/surveys?folder_id=467920080,OFFICES,https://api-auth0.akvo.org/flow/orgs/maep/folders?parent_id=467920080,467920080,0
